Last updated:  Fri Nov 20 11:15:22 2015
------------------------------------

Dreams Come True, 42.396736, -83.14152
West End, 42.5065, -83.35363
Van Dyke and Knodell, 42.5065, -83.35363
Royal Oak Farm, 42.488735, -83.13752
Operation Get Down, 42.5065, -83.35363
Midland/Princeston, 42.5065, -83.35363
Martha Ann, 42.5065, -83.35363
Kettering High School, 42.395904, -82.99632
Herman Kiefer Complex, 42.375237, -83.07837
Gateway, 42.5065, -83.35363
Fox 2 News, 42.567543, -83.149978
Elmhurst Home, 42.375787, -83.10849
E. Grand Blvd & Lafayette, 42.5065, -83.35363
Cutters Bar and Grill, 42.352837, -83.02449
Christian Guidance Center, 42.421936, -83.09981
Christian Guidance Center, 42.5065, -83.35363
Central High School, 42.536402, -82.95044
Boys & Girls Club, 42.338137, -83.12785
Birmingham Temple, 42.5065, -83.35363
Care N Share, 42.365337, -83.14254
The Brown's, 42.348937, -83.08994
Linwood & Clairmount, 42.375787, -83.10849
Mema's Doll, 42.426786, -83.14969
Pettie's Playground, 42.375787, -83.10849
The CH Garden, 42.410037, -83.05826
serenity, 42.410487, -82.94348
my lil piece of heaven, 42.410487, -82.94348
julian st communiti garden, 42.365337, -83.14254
Carter, 42.375787, -83.10849
Connies Creations, 42.425236, -83.24902
cumbarland garden, 42.421936, -83.09981
Jsglgt, 42.421936, -83.09981
Glo, 42.394586, -83.24422
Edible, 42.410037, -83.05826
The Joy Garden, 42.394586, -83.24422
brown&green, 42.379019, -83.04483
Care N Share Community Garden, 42.365337, -83.14254
Midaz, 42.427636, -83.19547
Northend Neighborhood Patrol, 42.375237, -83.07837
special food garden, 42.432686, -83.04422
Tyron, 42.343787, -83.05879
Healthy Place, 42.375787, -83.10849
Mamma Mays, 42.425236, -83.24902
Fast food, 42.426786, -83.14969
Mary, 42.426786, -83.14969
NO, 42.388786, -83.1918
Beautiful, 42.388786, -83.1918
Nameless, 42.427636, -83.19547
Sweet Cookie, 42.375787, -83.10849
Pathfinder, 42.396736, -83.14152
Gloria, 42.427636, -83.19547
Ruby, 42.396736, -83.14152
Terrence Place, 42.355437, -83.21722
Luther, 42.396736, -83.14152
Resha's Love, 42.375787, -83.10849
Veggie Garden, 42.427636, -83.19547
Love Garden, 42.375787, -83.10849
Picka, 42.425236, -83.24902
Nameless, 42.355437, -83.21722
Garden of Love, 42.426786, -83.14969
good stuff, 42.427636, -83.19547
Reece&jenning, 42.348937, -83.08994
Richardson-Bey, 42.426786, -83.14969
Sasha, 42.427636, -83.19547
Girlfriends Place, 42.331427, -83.0457538
Horn of Plenty, 42.425236, -83.24902
D.A.R., 42.426786, -83.14969
Bostic, 42.396736, -83.14152
Brown, 42.426786, -83.14969
Little John, 42.410037, -83.05826
Green's Haven, 42.426786, -83.14969
Household, 42.432686, -83.04422
The hawk, 42.425236, -83.24902
Marie, 42.425236, -83.24902
Joe, 42.375787, -83.10849
Mama Mays, 42.425236, -83.24902
no name, 42.426786, -83.14969
Mary, 42.425236, -83.24902
Ms. Jackson, 42.388786, -83.1918
nope, 42.427636, -83.19547
sweet cookie, 42.427636, -83.19547
warden, 42.427636, -83.19547
turners choice, 42.396736, -83.14152
Terrence Place, 42.396736, -83.14152
willow, 42.396736, -83.14152
Turnip, 42.379019, -83.04483
Blessed Garden, 42.410037, -83.05826
Greedy, 42.427636, -83.19547
Spicey, 42.410037, -83.05826
HA HA MO, 42.388786, -83.1918
Rosemary's Garden, 42.375787, -83.10849
cupboard garden, 42.375787, -83.10849
Terry's Plce, 42.388786, -83.1918
Whitaker Square, 42.269288, -83.13676
Mark Twain, 42.388786, -83.1918
Fancy Garden, 42.410037, -83.05826
Midas Touch, 42.427636, -83.19547
sunshine, 42.396736, -83.14152
Pringle Gardens, 42.427636, -83.19547
Sam, 42.427636, -83.19547
Reevson Garden, 42.426786, -83.14969
Julie's Heart, 42.466086, -82.94641
Thoms Place, 42.410037, -83.05826
Blessed, 42.375787, -83.10849
flovierty, 42.396736, -83.14152
Mean Green, 42.388786, -83.1918
gigi, 42.375787, -83.10849
fiftyone, 42.239933, -83.150823
galleria, 42.375237, -83.07837
No-Name, 42.375237, -83.07837
not named, 42.365337, -83.14254
Berndette Gardens, 42.239933, -83.150823
Grandmas Garden, 42.396736, -83.14152
2 baby mama garden, 42.432686, -83.04422
CB's Place, 42.388786, -83.1918
Thumbs UP, 42.394586, -83.24422
Eddie Garden, 42.426786, -83.14969
Lot of Love, 42.375787, -83.10849
Craig's Greenway, 42.427636, -83.19547
Pleasely Plum, 42.378287, -82.95243
IDK, 42.396736, -83.14152
Bird, 42.396736, -83.14152
Lovely, 42.396736, -83.14152
Peace, 42.396736, -83.14152
Detroit  Finest, 42.396736, -83.14152
meme, 42.396736, -83.14152
Sisters, 42.365337, -83.14254
Friends, 42.365337, -83.14254
Baily Bail, 42.348937, -83.08994
My Place, 42.355437, -83.21722
Kevin's Garden of Love, 42.343787, -83.05879
My Gardent, 42.243488, -83.18097
MY Own, 42.375787, -83.10849
George, 42.239933, -83.150823
big girl, 42.460986, -83.13398
cooper, 42.379019, -83.04483
Behye's Farm, 42.239933, -83.150823
12th street missionay youth garden, 42.396736, -83.14152
Boston Gardens, 42.239933, -83.150823
Penn Garden, 42.239933, -83.150823
wayne.t.pie, 42.365337, -83.14254
We Grow, 42.239933, -83.150823
w.mib, 42.388786, -83.1918
Clarke Garden, 42.239933, -83.150823
Shugg, 42.348937, -83.08994
Vip, 42.365337, -83.14254
Cooper, 42.239933, -83.150823
nono, 42.365337, -83.14254
Thomas Garden, 42.239933, -83.150823
Thomas Garden, 42.239933, -83.150823
Ethel Garden, 42.375237, -83.07837
Big Boy, 42.239933, -83.150823
Evers Place, 42.396736, -83.14152
Matt, 42.239933, -83.150823
Brown, 42.328338, -83.07805
Little John, 42.239933, -83.150823
